gloss,definition_en,source,weight
COP,copula,Leipzig Glossing Rules,1
COR,coreferential,Wikipedia,1
COTEMP,contemporative,Wikipedia,1
CP,completive,lingglosses,1
CPL,complementizer,lingglosses,1
CPL,completive,Wikipedia,0
CRAS,crastinal,Wikipedia,1
CSO,cosubordinator,Wikipedia,1
CT,contrastive topic,lingglosses,1
CTEMP,contemporative,Wikipedia,1
CTEXP,contraexpectative,Wikipedia,1
CTG,contingent,Wikipedia,1
CTM,contemporative,Wikipedia,1
CTR,contrastive topic,lingglosses,1
CTRFCT,counterfactual,Wikipedia,1
CV,circumstantial,Wikipedia,1
CV,conveyance,Wikipedia,0
CVB,converb,Leipzig Glossing Rules,1
D,definiteness,lingglosses,0
D,determiner,lingglosses,1
DAT,dative,Leipzig Glossing Rules,1
DBT,dubitative,Wikipedia,1
DCL,declarative,Wikipedia,1
DE,different event,Wikipedia,1
DEAG,deagentive,Wikipedia,1
DEB,debitive,lingglosses,1
DEC,decausative,Wikipedia,0
DEC,declarative,Leipzig Glossing Rules,1
DECL,declarative,lingglosses,1
DED,deductive,Wikipedia,1
DEF,definite,Leipzig Glossing Rules,1
DEFIN,definitive,Wikipedia,1
DEFOC,defocus,Wikipedia,1
DEFR,deferential,Wikipedia,1
DEIC,deictic,Wikipedia,1
DEL,delative,Wikipedia,1
DEL,deliberative,Wikipedia,0
DEM,demonstrative,Leipzig Glossing Rules,1
DENOM,denominal,Wikipedia,1
DEO,deontic,Wikipedia,1
DEOBJ,deobjective,Wikipedia,1
DEONT,deontic,Wikipedia,1
DEP,dependent,Wikipedia,1
DER,derivation,Wikipedia,1
DERIV,derivation,Wikipedia,1
DES,desiderative,Wikipedia,1
DESI,desiderative,Wikipedia,1
DESID,desiderative,Wikipedia,1
DEST,destinative,Wikipedia,1
DET,determiner,Leipzig Glossing Rules,1
DETR,detransitive,Wikipedia,1
DFLT,default,Wikipedia,1
DH,"downhill, seaward",Wikipedia,1
DI,dual inclusive,Wikipedia,1
DIM,diminutive,Wikipedia,1
DIMIN,diminutive,Wikipedia,1
DIR,directional,Wikipedia,1
DIR,directive,lingglosses,0
DIREC,directional,Wikipedia,1
DIS,dislocative,Wikipedia,1
DISC,discontinuative,lingglosses,0
DISC,discourse marker,Wikipedia,1
DISCNT,discontinuative,Wikipedia,1
DISCONT,discontinuative,Wikipedia,1
DISJ,disjunction,Wikipedia,1
DIST,distal,Leipzig Glossing Rules,1
DISTR,distributive,Leipzig Glossing Rules,1
DISTR,distributive plural,Wikipedia,0
DITR,ditransitive,Wikipedia,1
DIV,diversative,Wikipedia,1
DL,dual,lingglosses,1
DLM,delimitative,Wikipedia,1
DM,directive,Wikipedia,1
DN,deverbal noun,Wikipedia,1
DO,direct object,lingglosses,1
DOM,differential object marking,Wikipedia,1
DOM,direct-object marker,Wikipedia,0
DON,donative,Wikipedia,1
DOWN,downward,Wikipedia,1
DOX,doxastic,Wikipedia,1
DP,distant past,Wikipedia,1
DPAST,direct past,Wikipedia,1
DPC,distant past continuative,Wikipedia,1
DPRO,demonstrative pronoun,lingglosses,1
DR,different reference,Wikipedia,0
DR,downriver,Wikipedia,1
DSC,discontinuative,Wikipedia,1
DSM,differential subject marking,lingglosses,1
DST,distal,lingglosses,1
DSTL,distal,Wikipedia,1
DT,different taxis,Wikipedia,1
DTR,detrimentary,Wikipedia,1
DTRNZ,detransitivizer,Wikipedia,1
DU,dual,Leipzig Glossing Rules,1
DUB,dubitative,Wikipedia,1
DUBIT,dubitative,Wikipedia,1
DUP,reduplication,lingglosses,1
DUPLIC,duplicative,Wikipedia,1
DUR,durative,Leipzig Glossing Rules,1
DWN,downward,Wikipedia,1
DY,dyadic,Wikipedia,1
DYAD,dyadic,Wikipedia,1
DYN,dynamic,Wikipedia,1
DYNM,dynamic,Wikipedia,1
EA,epistemic authority,Wikipedia,1
ECM,exceptional case marking,lingglosses,1
EFF,effector,Wikipedia,1
EFOC,extra-focal,Wikipedia,1
EGO,egophoric,Wikipedia,1
EGR,egressive,Wikipedia,1
ELA,elative,lingglosses,1
ELAT,elative,lingglosses,1
EMO,emotive,Wikipedia,1
EMOT,emotive,Wikipedia,1
EMP,emphatic,Wikipedia,1
EMPH,emphatic,Wikipedia,1
ENCL,enclitic,lingglosses,1
ENDO,endopathic,Wikipedia,1
ENZ,enunciative,Wikipedia,1
EP,epenthetic,Wikipedia,1
EPENT,epenthetic,Wikipedia,1
EPENTH,epenthetic,Wikipedia,1
EPI,epistemic,Wikipedia,1
EPIS,epistemic,Wikipedia,1
EPIST,epistemic,Wikipedia,1
EPTH,epenthentic,lingglosses,1
EQ,equative,Wikipedia,1
EQL,equative,Wikipedia,1
EQTV,equative,Wikipedia,1
EQU,equative,Wikipedia,1
ERG,ergative,Leipzig Glossing Rules,1
ESS,essive,Wikipedia,1
ETOP,emphatic topic,Wikipedia,1
EV,epenthetic vowel,lingglosses,0
EV,evidential,Wikipedia,1
EV,experiencer voice,Wikipedia,0
EVD,evidential,Wikipedia,1
EVI,evidential,Wikipedia,1
EVID,evidential,Wikipedia,1
EVIT,evitative,Wikipedia,1
EVT,eventual,Wikipedia,1
EXAL,exaltive,Wikipedia,1
EXC,excessive,Wikipedia,1
EXC,exclamative,lingglosses,0
EXCL,exclamative,Wikipedia,0
EXCL,exclusive,Leipzig Glossing Rules,1
EXCLAM,exclamative,Wikipedia,1
EXCLM,exclamative,Wikipedia,1
EXEC,executive,Wikipedia,1
EXESS,exessive,Wikipedia,1
EXFOC,extra-focal,Wikipedia,1
EXH,exhaustifier,lingglosses,0
EXH,exhortative,Wikipedia,1
EXHORT,exhortative,lingglosses,1
EXIS,existential,Wikipedia,1
EXIST,existential,Wikipedia,1
EXO,exocentric,Wikipedia,1
EXP,experiencer,Wikipedia,0
EXP,experiential,Wikipedia,1
EXPECT,expectational,Wikipedia,1
EXPER,experiencer,Wikipedia,0
EXPER,experiential,Wikipedia,1
EXPL,expletive,lingglosses,1
EXPR,expressive,Wikipedia,1
EXS,existential,Wikipedia,1
EXT,extended,Wikipedia,1
EXT,extent,Wikipedia,0
EXT,external evidential,Wikipedia,0
EZF,ezafe,Wikipedia,1
F,feminine,Leipzig Glossing Rules,1
FAC,factitive,Wikipedia,0
FAC,factive,Wikipedia,1
FACT,factative,Wikipedia,0
FACT,factitive,Wikipedia,1
FACT,factive,Wikipedia,0
FAM,familiar,Wikipedia,1
FCL,facilitive,Wikipedia,1
FDU,female dual,lingglosses,1
FEM,feminine,lingglosses,1
FH,firsthand,Wikipedia,1
FI,feminine indefinite,Wikipedia,1
FIN,finalis,Wikipedia,0
FIN,finite,Wikipedia,1
FIRSTH,firsthand,Wikipedia,1
FNP,finite non-past,lingglosses,1
FOC,focus,Leipzig Glossing Rules,1
FOR,formal,Wikipedia,1
FORM,formal,Wikipedia,1
FP,far past,Wikipedia,1
FPL,female plural,lingglosses,1
FPRT,future participle,Wikipedia,1
FPST,far past,Wikipedia,1
FR,frustrative,Wikipedia,1
FRACT,fractional,Wikipedia,1
FREQ,frequentative,Wikipedia,1
FRM,formal,Wikipedia,1
FRML,formal,Wikipedia,1
FRQ,frequentative,Wikipedia,1
FRST,frustrative,Wikipedia,1
FRT,front,Wikipedia,1
FRUS,frustrative,Wikipedia,1
FRUST,frustrative,Wikipedia,1
FS,false start,Wikipedia,1
FSG,female singular,lingglosses,1
FTV,factative,Wikipedia,1
FUNC,functional,Wikipedia,0
FUNC,functive,Wikipedia,1
FUT,future,Leipzig Glossing Rules,1
GEN,genitive,Leipzig Glossing Rules,1
GENER,generic,Wikipedia,1
GENR,generic,Wikipedia,1
GENRL,generic,Wikipedia,1
GENZ,generalized,Wikipedia,1
GER,gerund,Wikipedia,1
GIV,given,Wikipedia,1
GKN,general knowledge,Wikipedia,1
GNO,gnomic,Wikipedia,1
GNR,generic,Wikipedia,1
GNRL,generic,Wikipedia,1
GNT,general tense,Wikipedia,1
GOAL,goal,lingglosses,1
GPST,general past,Wikipedia,1
GRD,gerund,Wikipedia,1
GRND,gerund,lingglosses,1
GV,goal voice,Wikipedia,1
H,head,Wikipedia,0
H,hearer,Wikipedia,0
H,human,Wikipedia,1
HAB,habitual,Wikipedia,1
HABIT,habitual,Wikipedia,1
HBL,habilitive,Wikipedia,1
HCR,hypocoristic,Wikipedia,1
HDU,human dual,lingglosses,1
HES,hesitation,Wikipedia,1
HESIT,hesitation,Wikipedia,1
HEST,hesternal,Wikipedia,1
HIST,historical,Wikipedia,1
HML,humilitive,Wikipedia,1
HNDR,number of hundreds,Wikipedia,1
HNR,honorific,Wikipedia,1
HOD,hodiernal,Wikipedia,1
HON,honorific,Wikipedia,1
HOR,horizon of interest,Wikipedia,0
HOR,horizontal,Wikipedia,1
HORT,hortative,Wikipedia,1
HORZ,horizontal,lingglosses,1
HPL,human plural,lingglosses,1
HR,heard,Wikipedia,1
HRS,hearsay,Wikipedia,1
HRSY,hearsay,Wikipedia,1
HSG,human singular,lingglosses,1
HSY,hearsay/reported evidential,Wikipedia,1
HUM,human,Wikipedia,1
HUM,humilitive,Wikipedia,0
HYP,hypothetical,Wikipedia,1
HYPO,hypothetical,Wikipedia,1
HYPOTH,hypothetical,Wikipedia,1
I,class I,lingglosses,1
IA,indirect agent,Wikipedia,0
IA,involuntary agent ,Wikipedia,1
IAM,iametive,Wikipedia,1
IC,inderective copula,Wikipedia,0
IC,inflection class,lingglosses,0
IC,involuntary causative,Wikipedia,1
ICOM,involuntary comitative,Wikipedia,1
ICP,incompletive,Wikipedia,1
ICVB,imperfective converb,Wikipedia,1
IDENT,identical,Wikipedia,1
IDENTIF,identifiable,Wikipedia,1
IDEO,ideophone,Wikipedia,1
IDEOPH,ideophone,Wikipedia,1
IDF,indefinite,Wikipedia,1
IDPH,ideophone,Wikipedia,1
IFUT,indefinite future,Wikipedia,1
IGN,ignorative,Wikipedia,1
IGNOR,ignorative,Wikipedia,1
II,class II,lingglosses,1
III,class III,lingglosses,1
ILL,illative,Wikipedia,1
ILLA,illative,Wikipedia,1
ILLAT,illative,Wikipedia,1
IM,immediate,Wikipedia,0
IM,interrogative mark,Wikipedia,1
IMI,impersonal infinitive,Wikipedia,1
IMM,Immediate,lingglosses,1
IMMED,Immediate,Wikipedia,1
IMN,imminent,Wikipedia,1
IMP,imperative,Leipzig Glossing Rules,1
IMP,imperfect,lingglosses,0
IMP,imperfective,lingglosses,0
IMP,impersonal,lingglosses,0
IMPERF,imperfective,Wikipedia,1
IMPERS,impersonal,Wikipedia,1
IMPF,imperfect,Wikipedia,0
IMPF,imperfective,Wikipedia,1
IMPL,implicative,Wikipedia,1
IMPOSS,modal impossibility,Wikipedia,1
IMPOT,impotential,Wikipedia,1
IMPR,impersonal,Wikipedia,0
IMPR,imprecative,Wikipedia,1
IMPREC,imprecative,Wikipedia,1
IMPRF,imperfective,Wikipedia,1
IMPRS,impersonal,Wikipedia,1
IMPV,imperfective,lingglosses,1
IN,in a container,Wikipedia,1
IN,inclusive,Wikipedia,0
IN,inessive,Wikipedia,0
INAB,impotential,Wikipedia,1
INABL,inablative,Wikipedia,1
INACT,inactive,Wikipedia,1
INAL,inalienable,Wikipedia,1
INAN,inanimate,Wikipedia,1
INANI,inanimate,lingglosses,1
INANIM,inanimate,Wikipedia,1
INC,inceptive,Wikipedia,1
INC,inchoative,Wikipedia,0
INC,inclusive,Wikipedia,0
INC,incompletive,lingglosses,0
INC,incompletive,Wikipedia,0
INC,increment,Wikipedia,0
INCEP,inceptive,Wikipedia,1
INCH,inchoative,lingglosses,1
INCHO,inchoative,Wikipedia,1
INCIP,inceptive,Wikipedia,1
INCL,inclusive,Leipzig Glossing Rules,1
INCMP,incompletive,Wikipedia,1
INCMPL,incompletive,Wikipedia,1
INCOMPL,incompletive,Wikipedia,1
INCP,inceptive,Wikipedia,1
INCPL,incompletive,Wikipedia,1
IND,indefinite,Wikipedia,0
IND,independent,Wikipedia,0
IND,indicative,Leipzig Glossing Rules,1
INDCAUS,indirect causative,Wikipedia,1
INDEF,indefinite,Leipzig Glossing Rules,1
INDEP,independent,Wikipedia,1
INDET,indeterminate,Wikipedia,1
INDF,indefinite,Wikipedia,1
INDH,indefinite human,Wikipedia,1
INDIC,indicative,Wikipedia,1
INDIR,indirective,Wikipedia,1
INDIV,individualizer,Wikipedia,1
INDN,indefinite non-human,Wikipedia,1
INDP,independent,Wikipedia,1
INE,inessive,lingglosses,1
INEL,inelative,Wikipedia,1
INES,inessive,Wikipedia,1
INESS,inessive,Wikipedia,1
INF,infinitive,Leipzig Glossing Rules,1
INFER,inferential,Wikipedia,1
INFERN,inferential,Wikipedia,1
INFL,inflectional,Wikipedia,1
INFR,inferential,Wikipedia,1
ING,ingressive,Wikipedia,1
INGR,ingressive,Wikipedia,1
INH,inchoative,Wikipedia,1
INJ,interjection,Wikipedia,1
INS,instantiated,Wikipedia,0
INS,instrumental,Leipzig Glossing Rules,1
INST,instrumental,Wikipedia,1
INSTR,instrumental,Wikipedia,1
INT,interrogative,lingglosses,1
INTEN,intensifier,Wikipedia,1
INTEN,intentional,Wikipedia,0
INTENS,intensifier,Wikipedia,1
INTENTV,intentive,Wikipedia,1
INTER,within (a solid object),Wikipedia,1
INTERESS,interessive,Wikipedia,1
INTERJ,interjection,Wikipedia,1
INTERP,interpellative,Wikipedia,1
INTERR,interrogative,Wikipedia,1
INTERROG,interrogative,Wikipedia,1
INTF,interfix,Wikipedia,1
INTJ,interjection,Wikipedia,1
INTL,intentional,Wikipedia,1
INTN,intensifier,Wikipedia,1
INTNS,intensifier,Wikipedia,1
INTR,intransitive,Leipzig Glossing Rules,1
INTRJ,interjection,Wikipedia,1
INTRST,compliment of interest,Wikipedia,1
INTRV,introversive,Wikipedia,1
INTS,intensifier,Wikipedia,1
INTV,intentive,Wikipedia,1
INV,inverse,lingglosses,1
INVIS,invisible,Wikipedia,1
INVN,inverse number,Wikipedia,1
INW,inward,Wikipedia,1
IO,indirect object,Wikipedia,1
IOBJ,indirect object,Wikipedia,1
IP,immediate past,Wikipedia,1
IPAST,indirective past,Wikipedia,1
IPD,impeditive,Wikipedia,1
IPF,imperfective,lingglosses,1
IPFV,imperfective,Leipzig Glossing Rules,1
IPS,impersonal,Wikipedia,1
IPS,impersonalizer,Wikipedia,0
IQ,indirect question,Wikipedia,1
IR,irrealis,Wikipedia,1
IRLS,irrealis,lingglosses,1
IRR,irrealis,Leipzig Glossing Rules,1
IRREAL,irrealis,Wikipedia,1
IRREL,irrelevence,Wikipedia,1
IRRELEV,irrelevence,Wikipedia,1
IS,immediate scope,Wikipedia,0
IS,impersonal subject,Wikipedia,0
IS,indirect speech,Wikipedia,1
IT,itive,Wikipedia,1
ITE,iterative,Wikipedia,1
ITER,iterative,Wikipedia,1
ITG,intangible,Wikipedia,1
ITIV,itive,Wikipedia,1
ITM,intermittent,Wikipedia,1
ITR,intransitive,lingglosses,1
ITV,itive,Wikipedia,1
IV,class IV,lingglosses,1
IVC,impersonal verb construction,Wikipedia,1
IX,class IX,lingglosses,1
IZAF,izafet,Wikipedia,1
JUS,jussive,Wikipedia,1
